"Signal","Type","DataType","Deprecated","Unit","Min","Max","Desc","Comment","Allowed","Default","Id"
"Vehicle","branch","","","","","","High-level vehicle data.","","","","ccc825f94139544dbb5f4bfd033bece6"
"Vehicle.VersionVSS","branch","","","","","","Supported Version of VSS.","","","","9a687e56f1305eedb20f6a021ea58f48"
"Vehicle.VersionVSS.Major","attribute","uint32","","","","","Supported Version of VSS - Major version.","","","4","5edf1a338c975cbb84d4ce3cfe1aa4b4"
"Vehicle.VersionVSS.Minor","attribute","uint32","","","","","Supported Version of VSS - Minor version.","","","1","6e70a598dbc7534c96c58c18e9888cfd"
"Vehicle.VersionVSS.Patch","attribute","uint32","","","","","Supported Version of VSS - Patch version.","","","0","69858f224af459338b9bfbff436dda45"
"Vehicle.VersionVSS.Label","attribute","string","","","","","Label to further describe the version.","COVESA VSS project typically use dev for latest master, and empty string for released versions.","","","7c92cd50d24b5662922b27cb9a327e53"
"Vehicle.VehicleIdentification","branch","","","","","","Attributes that identify a vehicle.","","","","c33861c3e9125208b05f23fe922bf08e"
"Vehicle.VehicleIdentification.VIN","attribute","string","","","","","17-character Vehicle Identification Number (VIN) as defined by ISO 3779.","","","","6f0b6fa8c34f589baa92e565bc9df5bd"
"Vehicle.VehicleIdentification.WMI","attribute","string","","","","","3-character World Manufacturer Identification (WMI) as defined by ISO 3780.","","","","e7c86defbcd554a79f90ba85de58e133"
"Vehicle.VehicleIdentification.Brand","attribute","string","","","","","Vehicle brand or manufacturer.","","","","19fd645ff5385767bcdbf5dd4313483f"
"Vehicle.VehicleIdentification.Model","attribute","string","","","","","Vehicle model.","","","","dd3d3b72e6a85b3695ba25f829255403"
"Vehicle.VehicleIdentification.Year","attribute","uint16","","","","","Model year of the vehicle.","","","","9a76b0aca8e45f6fb33dbaf5b976b8b5"
"Vehicle.VehicleIdentification.AcrissCode","attribute","string","","","","","The ACRISS Car Classification Code is a code used by many car rental companies.","","","","115a821e8e0b57f08e4b9e61e85d7156"
"Vehicle.VehicleIdentification.BodyType","attribute","string","","","","","Indicates the design and body style of the vehicle (e.g. station wagon, hatchback, etc.).","","","","e6d5c71ecec95d68b0b59bb7e93af759"
"Vehicle.VehicleIdentification.DateVehicleFirstRegistered","attribute","string","","iso8601","","","The date in ISO 8601 format of the first registration of the vehicle with the respective public authorities.","","","","046f47acf62e50bd863d6568d73743d7"
"Vehicle.VehicleIdentification.LicensePlate","attribute","string","","","","","The license plate of the vehicle.","Depending on the context, this attribute might not be up to date or might be misconfigured, and therefore should be considered untrustworthy in the absence of another method of verification.","","","81ddd35883995a61a5fb71e26d31adaa"
"Vehicle.VehicleIdentification.MeetsEmissionStandard","attribute","string","","","","","Indicates that the vehicle meets the respective emission standard.","","","","d75dedbfadca54d8b6c7261c37ad5d83"
"Vehicle.VehicleIdentification.ProductionDate","attribute","string","","iso8601","","","The date in ISO 8601 format of production of the item, e.g. vehicle.","","","","5683877c4bac504d915b268c9476c190"
"Vehicle.VehicleIdentification.PurchaseDate","attribute","string","","iso8601","","","The date in ISO 8601 format of the item e.g. vehicle was purchased by the current owner.","","","","31302f8b57e85c4197afda3e3201fce8"
"Vehicle.VehicleIdentification.VehicleModelDate","attribute","string","","iso8601","","","The release date in ISO 8601 format of a vehicle model (often used to differentiate versions of the same make and model).","","","","c71b63f83dea536bac58e62bbe537f11"
"Vehicle.VehicleIdentification.VehicleConfiguration","attribute","string","","","","","A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.","","","","2526c7ba4c8458c78000a9e5f2fe89d5"
"Vehicle.VehicleIdentification.VehicleSeatingCapacity","attribute","uint16","","","","","The number of passengers that can be seated in the vehicle, both in terms of the physical space available, and in terms of limitations set by law.","","","","7ae5db0e0482555686b9be71dd8a0c38"
"Vehicle.VehicleIdentification.VehicleSpecialUsage","attribute","string","","","","","Indicates whether the vehicle has been used for special purposes, like commercial rental, driving school.","","","","7e6e8a48f54a5549a8f6af8f1dc5eb8d"
"Vehicle.VehicleIdentification.VehicleExteriorColor","attribute","string","","","","","The main color of the exterior within the basic color palette (eg. red, blue, black, white, ...).","","","","07c48d164c615369b87ccc2920edf802"
"Vehicle.VehicleIdentification.VehicleInteriorColor","attribute","string","","","","","The color or color combination of the interior of the vehicle.","","","","67a8b069b8bf573993d51959c24f04e2"
"Vehicle.VehicleIdentification.VehicleInteriorType","attribute","string","","","","","The type or material of the interior of the vehicle (e.g. synthetic fabric, leather, wood, etc.).","","","","4c4eed302b2e51daa9b6f5f398987a77"
"Vehicle.VehicleIdentification.KnownVehicleDamages","attribute","string","","","","","A textual description of known damages, both repaired and unrepaired.","","","","e87f352cddb15e94b340506b17207586"
"Vehicle.VehicleIdentification.OptionalExtras","attribute","string[]","","","","","Optional extras refers to all car equipment options that are not installed as standard by the manufacturer.","Allowed values are not standardized, each OEM can specify detail descriptions of array elements.","","","d9ecc64b0c995595967e05009d6fc1b9"
"Vehicle.LowVoltageSystemState","sensor","string","","","","","State of the supply voltage of the control units (usually 12V).","","['UNDEFINED', 'LOCK', 'OFF', 'ACC', 'ON', 'START']","","d7391ceb132e5519b02d4c13d5513d99"
"Vehicle.LowVoltageBattery","branch","","","","","","Signals related to low voltage battery.","","","","ab8c5816d44f55b68f6e1d6d9e5acb0b"
"Vehicle.LowVoltageBattery.NominalVoltage","attribute","uint16","","V","","","Nominal Voltage of the battery.","Nominal voltage typically refers to voltage of fully charged battery when delivering rated capacity.","","","bd5d4b6ee33f507fb49782505c3040e0"
"Vehicle.LowVoltageBattery.NominalCapacity","attribute","uint16","","Ah","","","Nominal capacity of the low voltage battery.","","","","d9f32612cb2f58d3b863a0dae21ff7af"
"Vehicle.LowVoltageBattery.CurrentVoltage","sensor","float","","V","","","Current Voltage of the low voltage battery.","","","","1394234e8b975a279959ae82e03df786"
"Vehicle.LowVoltageBattery.CurrentCurrent","sensor","float","","A","","","Current current flowing in/out of the low voltage battery. Positive = Current flowing in to battery, e.g. during charging or driving. Negative = Current flowing out of battery, e.g. when using the battery to start a combustion engine.","","","","e1d76e489d505b03ace30771ba4291b1"
"Vehicle.Speed","sensor","float","","km/h","","","Vehicle speed.","","","","efe50798638d55fab18ab7d43cc490e9"
"Vehicle.TraveledDistance","sensor","float","","km","","","Odometer reading, total distance traveled during the lifetime of the vehicle.","","","","32c3c3585f105d8aa5566ef5a038a741"
"Vehicle.TraveledDistanceSinceStart","sensor","float","","km","","","Distance traveled since start of current trip.","A new trip is considered to start when engine gets enabled (e.g. LowVoltageSystemState in ON or START mode). A trip is considered to end when engine is no longer enabled. The signal may however keep the value of the last trip until a new trip is started.","","","cfc6efd2793152e487f9fe3f4e03fd5d"
"Vehicle.StartTime","attribute","string","","iso8601","","","Start time of current or latest trip, formatted according to ISO 8601 with UTC time zone.","This signal is supposed to be set whenever a new trip starts. A new trip is considered to start when engine gets enabled (e.g. LowVoltageSystemState in ON or START mode). A trip is considered to end when engine is no longer enabled. The default value indicates that the vehicle never has been started, or that latest start time is unknown.","","0000-01-01T00:00Z","3790b5f4513c5a3d90a0503a965bbbe0"
"Vehicle.TripDuration","sensor","float","","s","","","Duration of latest trip.","This signal is not assumed to be continuously updated, but instead set to 0 when a trip starts and set to the actual duration of the trip when a trip ends. A new trip is considered to start when engine gets enabled (e.g. LowVoltageSystemState in ON or START mode). A trip is considered to end when engine is no longer enabled.","","","84b9558ad33555389791b57d505f27a8"
"Vehicle.TripMeterReading","actuator","float","","km","","","Trip meter reading.","The trip meter is an odometer that can be manually reset by the driver","","","81f51ebfe29c591190171d7b96e1c948"
"Vehicle.IsBrokenDown","sensor","boolean","","","","","Vehicle breakdown or any similar event causing vehicle to stop on the road, that might pose a risk to other road users. True = Vehicle broken down on the road, due to e.g. engine problems, flat tire, out of gas, brake problems. False = Vehicle not broken down.","Actual criteria and method used to decide if a vehicle is broken down is implementation specific.","","","469ebd2a76b45e5b97b799262a085330"
"Vehicle.IsMoving","sensor","boolean","","","","","Indicates whether the vehicle is stationary or moving.","","","","db69549cc7375e919c2a2883b41cd19c"
"Vehicle.AverageSpeed","sensor","float","","km/h","","","Average speed for the current trip.","A new trip is considered to start when engine gets enabled (e.g. LowVoltageSystemState in ON or START mode). A trip is considered to end when engine is no longer enabled. The signal may however keep the value of the last trip until a new trip is started. Calculation of average speed may exclude periods when the vehicle for example is not moving or transmission is in neutral.","","","43a489636a665c3abb99b63174eb552b"
"Vehicle.Acceleration","branch","","","","","","Spatial acceleration. Axis definitions according to ISO 8855.","","","","6c490e6a798c5abc8f0178ed6deae0a8"
"Vehicle.Acceleration.Longitudinal","sensor","float","","m/s^2","","","Vehicle acceleration in X (longitudinal acceleration).","","","","3d511fe7232b5841be311b37f322de5a"
"Vehicle.Acceleration.Lateral","sensor","float","","m/s^2","","","Vehicle acceleration in Y (lateral acceleration).","","","","7522c5d6b7665b16a099643b2700e93c"
"Vehicle.Acceleration.Vertical","sensor","float","","m/s^2","","","Vehicle acceleration in Z (vertical acceleration).","","","","a4a8a7c4ac5b52deb0b3ee4ed8787c59"
"Vehicle.AngularVelocity","branch","","","","","","Spatial rotation. Axis definitions according to ISO 8855.","","","","1eef530a43de56aab665d2766483cde2"
"Vehicle.AngularVelocity.Roll","sensor","float","","degrees/s","","","Vehicle rotation rate along X (longitudinal).","","","","221e6b93881e5771bcbd03e0849e0075"
"Vehicle.AngularVelocity.Pitch","sensor","float","","degrees/s","","","Vehicle rotation rate along Y (lateral).","","","","42236f4a01f45313a97fdd9b6848ce4f"
"Vehicle.AngularVelocity.Yaw","sensor","float","","degrees/s","","","Vehicle rotation rate along Z (vertical).","","","","4114c41552565c1f9035670cabe2a611"
"Vehicle.RoofLoad","attribute","int16","","kg","","","The permitted total weight of cargo and installations (e.g. a roof rack) on top of the vehicle.","","","","97dc98269a19591d9efa455a8d943c16"
"Vehicle.CargoVolume","attribute","float","","l","0","","The available volume for cargo or luggage. For automobiles, this is usually the trunk volume.","","","","789feabca2e8560ea3c1852371b4096e"
"Vehicle.EmissionsCO2","attribute","int16","","g/km","","","The CO2 emissions.","","","","b73e8f1ed17d584fad3f088c666dc2a5"
"Vehicle.CurrentOverallWeight","sensor","uint16","","kg","","","Current overall Vehicle weight. Including passengers, cargo and other load inside the car.","","","","75599d7628bb5f35839055269d3ad205"
"Vehicle.CurbWeight","attribute","uint16","","kg","","","Vehicle curb weight, including all liquids and full tank of fuel, but no cargo or passengers.","","","0","69ac6ca079de59d19737f75e4c5c4342"
"Vehicle.GrossWeight","attribute","uint16","","kg","","","Curb weight of vehicle, including all liquids and full tank of fuel and full load of cargo and passengers.","","","0","9671cb551dd8570fbe5d7cd797265e6a"
"Vehicle.MaxTowWeight","attribute","uint16","","kg","","","Maximum weight of trailer.","","","0","a1b8fd65897654aa8a418bccf443f1f3"
"Vehicle.MaxTowBallWeight","attribute","uint16","","kg","","","Maximum vertical weight on the tow ball of a trailer.","","","0","fec550f2064750e8b65b54fbf1368d68"
"Vehicle.Length","attribute","uint16","","mm","","","Overall vehicle length.","","","0","885f1be6842a513582e52a42edb3176f"
"Vehicle.Height","attribute","uint16","","mm","","","Overall vehicle height.","","","0","9784d39f68b8541f90c355178ded7d7c"
"Vehicle.Width","attribute","uint16","v4.1 replaced with WidthExcludingMirrors and WidthIncludingMirrors","mm","","","Overall vehicle width.","","","0","b4aabe144e3259adb1459a2e25fec9bd"
"Vehicle.WidthExcludingMirrors","attribute","uint16","","mm","","","Overall vehicle width excluding mirrors, as defined by SAE J1100-2009 W103.","","","0","3b942451854151a182d8310e795dfb35"
"Vehicle.WidthIncludingMirrors","attribute","uint16","","mm","","","Overall vehicle width including mirrors, as defined by SAE J1100-2009 W144.","","","","25bd8bd35fbd59f8b7b6423a90219ca1"
"Vehicle.WidthFoldedMirrors","attribute","uint16","","mm","","","Overall vehicle width with mirrors folded, as defined by SAE J1100-2009 W145.","","","","ee3490808cc35184af9639fb2f345f38"
"Vehicle.TurningDiameter","attribute","uint16","","mm","","","Minimum turning diameter, Wall-to-Wall, as defined by SAE J1100-2009 D102.","","","","acc4b8faccf45139a948e97570767736"
"Vehicle.Trailer","branch","","","","","","Trailer signals.","","","","66206ee5c25a5817bef214c0c8ae8013"
"Vehicle.Trailer.IsConnected","sensor","boolean","","","","","Signal indicating if trailer is connected or not.","","","","77f28ed03c125ac9a19d22e9436b0ec4"
"Vehicle.CurrentLocation","branch","","","","","","The current latitude and longitude of the vehicle.","","","","24777bd485f15fb69550ae0520c40ad5"
"Vehicle.CurrentLocation.Timestamp","sensor","string","","iso8601","","","Timestamp from GNSS system for current location, formatted according to ISO 8601 with UTC time zone.","","","","094aeff73be05c08905690be0e82a438"
"Vehicle.CurrentLocation.Latitude","sensor","double","","degrees","-90","90","Current latitude of vehicle in WGS 84 geodetic coordinates, as measured at the position of GNSS receiver antenna.","","","","08933c5a445055df80bea15fbfa07f1c"
"Vehicle.CurrentLocation.Longitude","sensor","double","","degrees","-180","180","Current longitude of vehicle in WGS 84 geodetic coordinates, as measured at the position of GNSS receiver antenna.","","","","5246f2ec5fea550cb1b36f110854cfbb"
"Vehicle.CurrentLocation.Heading","sensor","double","","degrees","0","360","Current heading relative to geographic north. 0 = North, 90 = East, 180 = South, 270 = West.","","","","2a8f0afa2b315943aa001278875ce012"
"Vehicle.CurrentLocation.HorizontalAccuracy","sensor","double","","m","","","Accuracy of the latitude and longitude coordinates.","","","","bf25ef243f0c5f839f7ef874f9c57fda"
"Vehicle.CurrentLocation.Altitude","sensor","double","","m","","","Current altitude relative to WGS 84 reference ellipsoid, as measured at the position of GNSS receiver antenna.","","","","d3ead98ab0b751c1a5b5dd5bc0e5e216"
"Vehicle.CurrentLocation.VerticalAccuracy","sensor","double","","m","","","Accuracy of altitude.","","","","8f54055bce9e5e8e97fb6051582707ab"
"Vehicle.CurrentLocation.GNSSReceiver","branch","","","","","","Information on the GNSS receiver used for determining current location.","","","","b1bea5d88662539a8cff6f8fe4974740"
"Vehicle.CurrentLocation.GNSSReceiver.FixType","sensor","string","","","","","Fix status of GNSS receiver.","","['NONE', 'TWO_D', 'TWO_D_SATELLITE_BASED_AUGMENTATION', 'TWO_D_GROUND_BASED_AUGMENTATION', 'TWO_D_SATELLITE_AND_GROUND_BASED_AUGMENTATION', 'THREE_D', 'THREE_D_SATELLITE_BASED_AUGMENTATION', 'THREE_D_GROUND_BASED_AUGMENTATION', 'THREE_D_SATELLITE_AND_GROUND_BASED_AUGMENTATION']","","52853b33d4605608bd0ae50595c69309"
"Vehicle.CurrentLocation.GNSSReceiver.MountingPosition","branch","","","","","","Mounting position of GNSS receiver antenna relative to vehicle coordinate system. Axis definitions according to ISO 8855. Origin at center of (first) rear axle.","","","","5c0887bce6fb5eb79402baaccb203e61"
"Vehicle.CurrentLocation.GNSSReceiver.MountingPosition.X","attribute","int16","","mm","","","Mounting position of GNSS receiver antenna relative to vehicle coordinate system. Axis definitions according to ISO 8855. Origin at center of (first) rear axle. Positive values = forward of rear axle. Negative values = backward of rear axle.","","","","f23d40f3556b5676a0d1e3def037197f"
"Vehicle.CurrentLocation.GNSSReceiver.MountingPosition.Y","attribute","int16","","mm","","","Mounting position of GNSS receiver antenna relative to vehicle coordinate system. Axis definitions according to ISO 8855. Origin at center of (first) rear axle. Positive values = left of origin. Negative values = right of origin. Left/Right is as seen from driver perspective, i.e. by a person looking forward.","","","","16745ae827c0527ea2c48c20f0c146f1"
"Vehicle.CurrentLocation.GNSSReceiver.MountingPosition.Z","attribute","int16","","mm","","","Mounting position of GNSS receiver on Z-axis. Axis definitions according to ISO 8855. Origin at center of (first) rear axle. Positive values = above center of rear axle. Negative values = below center of rear axle.","","","","a4d04e86518e5c5ab60e5e4face35756"
"Vehicle.PowerOptimizeLevel","actuator","uint8","","","0","10","Power optimization level for this branch/subsystem. A higher number indicates more aggressive power optimization. Level 0 indicates that all functionality is enabled, no power optimization enabled. Level 10 indicates most aggressive power optimization mode, only essential functionality enabled.","","","","add77f60f7885e39a84baae200569077"
"Vehicle.IsAutoPowerOptimize","actuator","boolean","","","","","Auto Power Optimization Flag When set to 'true', the system enables automatic power optimization, dynamically adjusting the power optimization level based on runtime conditions or features managed by the OEM. When set to 'false', manual control of the power optimization level is allowed.","","","","233a02ed58b65171907e0d395cbe1b5f"
"Vehicle.Powertrain","branch","","","","","","Powertrain data for battery management, etc.","","","","12f35ec7bd1c58d1a329565ce3d053d5"
"Vehicle.Powertrain.AccumulatedBrakingEnergy","sensor","float","","kWh","","","The accumulated energy from regenerative braking over lifetime.","","","","0dd466d28d3d5ad094f2015adafb91a5"
"Vehicle.Powertrain.Range","sensor","uint32","","m","","","Remaining range in meters using all energy sources available in the vehicle.","","","","ea4b6de772d65d20b1fa611f997aa7b8"
"Vehicle.Powertrain.TimeRemaining","sensor","uint32","","s","","","Time remaining in seconds before all energy sources available in the vehicle are empty.","","","","f0154f73e2575ab5a39fd10a44ec7149"
"Vehicle.Powertrain.Type","attribute","string","","","","","Defines the powertrain type of the vehicle.","For vehicles with a combustion engine (including hybrids) more detailed information on fuels supported can be found in FuelSystem.SupportedFuelTypes and FuelSystem.SupportedFuels.","['COMBUSTION', 'HYBRID', 'ELECTRIC']","","2a000da4204658a4a6e3ecd5176bdfba"
"Vehicle.Powertrain.PowerOptimizeLevel","actuator","uint8","","","0","10","Power optimization level for this branch/subsystem. A higher number indicates more aggressive power optimization. Level 0 indicates that all functionality is enabled, no power optimization enabled. Level 10 indicates most aggressive power optimization mode, only essential functionality enabled.","","","","d740b02e2fb35c07bf88a6e5ebe2f6e4"
"Vehicle.Powertrain.IsAutoPowerOptimize","actuator","boolean","","","","","Auto Power Optimization Flag When set to 'true', the system enables automatic power optimization, dynamically adjusting the power optimization level based on runtime conditions or features managed by the OEM. When set to 'false', manual control of the power optimization level is allowed.","","","","2f76567bacce582aac9d9e62da78ce9c"
"Vehicle.Powertrain.CombustionEngine","branch","","","","","","Engine-specific data, stopping at the bell housing.","","","","159e2e3e75f0590f95b4d2f6cfae54b5"
"Vehicle.Powertrain.CombustionEngine.EngineCode","attribute","string","","","","","Engine code designation, as specified by vehicle manufacturer.","For hybrid vehicles the engine code may refer to the combination of combustion and electric engine.","","","4ec845911b8e5b64b2cb1d34063184de"
"Vehicle.Powertrain.CombustionEngine.Displacement","attribute","uint16","","cm^3","","","Displacement in cubic centimetres.","","","","94dbd928847150ab842c00fa5caaf272"
"Vehicle.Powertrain.CombustionEngine.StrokeLength","attribute","float","","mm","","","Stroke length in millimetres.","","","","1bdfdab7904d51ed93e101b84ea54ddf"
"Vehicle.Powertrain.CombustionEngine.Bore","attribute","float","","mm","","","Bore in millimetres.","","","","1618fb16035b5464961570cc1afd934e"
"Vehicle.Powertrain.CombustionEngine.Configuration","attribute","string","","","","","Engine configuration.","","['UNKNOWN', 'STRAIGHT', 'V', 'BOXER', 'W', 'ROTARY', 'RADIAL', 'SQUARE', 'H', 'U', 'OPPOSED', 'X']","UNKNOWN","586be4567fe059ee9e6cf42901c2e773"
"Vehicle.Powertrain.CombustionEngine.NumberOfCylinders","attribute","uint16","","","","","Number of cylinders.","","","","b2cd342c218257e88d214cdb511df82b"
"Vehicle.Powertrain.CombustionEngine.NumberOfValvesPerCylinder","attribute","uint16","","","","","Number of valves per cylinder.","","","","44633204726e561ca21beff31f3fef80"
"Vehicle.Powertrain.CombustionEngine.CompressionRatio","attribute","string","","","","","Engine compression ratio, specified in the format 'X:1', e.g. '9.2:1'.","","","","ead42922511051a0a0a1b634781f3c09"
"Vehicle.Powertrain.CombustionEngine.EngineOilCapacity","attribute","float","","l","","","Engine oil capacity in liters.","","","","2ca7af6facb55a13885989faa9bc6ca7"
"Vehicle.Powertrain.CombustionEngine.EngineCoolantCapacity","attribute","float","","l","","","Engine coolant capacity in liters.","","","","90b5b64808ea5f4fa2798d96143b0d60"
"Vehicle.Powertrain.CombustionEngine.MaxPower","attribute","uint16","","kW","","","Peak power, in kilowatts, that engine can generate.","","","0","81fbdd5e90f557a38b96578a38dc137d"
"Vehicle.Powertrain.CombustionEngine.MaxTorque","attribute","uint16","","Nm","","","Peak torque, in newton meter, that the engine can generate.","","","0","471cd478c1e8597f8e97c85b4e4ebe26"
"Vehicle.Powertrain.CombustionEngine.AspirationType","attribute","string","","","","","Type of aspiration (natural, turbocharger, supercharger etc).","","['UNKNOWN', 'NATURAL', 'SUPERCHARGER', 'TURBOCHARGER']","UNKNOWN","3ca6a8ff30275c20a9d8d6d6829574eb"
"Vehicle.Powertrain.CombustionEngine.EngineOilLevel","sensor","string","","","","","Engine oil level.","","['CRITICALLY_LOW', 'LOW', 'NORMAL', 'HIGH', 'CRITICALLY_HIGH']","","e3813f59e94b509eb865fd97255a8a4f"
"Vehicle.Powertrain.CombustionEngine.OilLifeRemaining","sensor","int32","","s","","","Remaining engine oil life in seconds. Negative values can be used to indicate that lifetime has been exceeded.","In addition to this a signal a vehicle can report remaining time to service (including e.g. oil change) by Vehicle.Service.TimeToService.","","","94303734c68c5353a02625f652103918"
"Vehicle.Powertrain.CombustionEngine.IsRunning","sensor","boolean","","","","","Engine Running. True if engine is rotating (Speed > 0).","","","","57652c27679757398c44d56af7a044d3"
"Vehicle.Powertrain.CombustionEngine.Speed","sensor","uint16","","rpm","","","Engine speed measured as rotations per minute.","","","","557ce24c5a4d51cc825059c948ac9e29"
"Vehicle.Powertrain.CombustionEngine.EngineHours","sensor","float","","h","","","Accumulated time during engine lifetime with 'engine speed (rpm) > 0'.","","","","a23a62e24f58514d961890f53262e4e0"
"Vehicle.Powertrain.CombustionEngine.IdleHours","sensor","float","","h","","","Accumulated idling time during engine lifetime. Definition of idling is not standardized.","Vehicles may calculate accumulated idle time for an engine. It might be based on engine speed (rpm) below a certain limit or any other mechanism.","","","6caa3d7e669c5cc6aecd4a6be9a302d4"
"Vehicle.Powertrain.CombustionEngine.ECT","sensor","int16","","celsius","","","Engine coolant temperature.","","","","fff3cad23cac5b189a1a075c3ab562cd"
"Vehicle.Powertrain.CombustionEngine.EOT","sensor","int16","","celsius","","","Engine oil temperature.","","","","eae6f5eae04f530e80f6b024f95b767d"
"Vehicle.Powertrain.CombustionEngine.MAP","sensor","uint16","","kPa","","","Manifold absolute pressure possibly boosted using forced induction.","","","","28d4354fa34056369acb857aa7cc76ac"
"Vehicle.Powertrain.CombustionEngine.MAF","sensor","uint16","","g/s","","","Grams of air drawn into engine per second.","","","","1e222ed8c48b5dcea60e43ac8af7d6df"
"Vehicle.Powertrain.CombustionEngine.TPS","sensor","uint8","","percent","","100","Current throttle position.","","","","1ddb77860de558b4876ffb399a442bda"
"Vehicle.Powertrain.CombustionEngine.EOP","sensor","uint16","","kPa","","","Engine oil pressure.","","","","76c7039dc7975ec3a003f0f4a04895ec"
"Vehicle.Powertrain.CombustionEngine.Power","sensor","uint16","","kW","","","Current engine power output. Shall be reported as 0 during engine breaking.","","","","20e8b5d2187758c2848ed421248c180d"
"Vehicle.Powertrain.CombustionEngine.Torque","sensor","uint16","","Nm","","","Current engine torque. Shall be reported as 0 during engine breaking.","During engine breaking the engine delivers a negative torque to the transmission. This negative torque shall be ignored, instead 0 shall be reported.","","","b81f504bdb57513299ae6e9402ec7bcd"
"Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid","branch","","","","","","Signals related to Diesel Exhaust Fluid (DEF). DEF is called AUS32 in ISO 22241.","In retail and marketing other names are typically used for the fluid.","","","81d8eec46d9357a3b1064bfb5d070fa2"
"Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.Capacity","attribute","float","","l","","","Capacity in liters of the Diesel Exhaust Fluid Tank.","","","","863c16ad452b5cf5b7a37f58bdda14c3"
"Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.Level","sensor","uint8","","percent","0","100","Level of the Diesel Exhaust Fluid tank as percent of capacity. 0 = empty. 100 = full.","","","","f5b0269b58ff5a8e8399f6d96963a3b6"
"Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.Range","sensor","uint32","","m","","","Remaining range in meters of the Diesel Exhaust Fluid present in the vehicle.","","","","124afbee975c5a67b316413f7b805eac"
"Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.IsLevelLow","sensor","boolean","","","","","Indicates if the Diesel Exhaust Fluid level is low. True if level is low. Definition of low is vehicle dependent.","","","","811af3fe4f7f5270b4119bb66cff8759"
"Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter","branch","","","","","","Diesel Particulate Filter signals.","","","","eeddd99ad6475b1a92b9ec7bd7cefdbd"
"Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter.InletTemperature","sensor","float","","celsius","","","Inlet temperature of Diesel Particulate Filter.","","","","70e90d202d3054bd967e67dce95c8ef2"
"Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter.OutletTemperature","sensor","float","","celsius","","","Outlet temperature of Diesel Particulate Filter.","","","","e2b7f9d97bec5c0d94ade71a5e2f6518"
"Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter.DeltaPressure","sensor","float","","Pa","","","Delta Pressure of Diesel Particulate Filter.","","","","a6f476775c60531b93acb835e0bc6ab6"
"Vehicle.Powertrain.Transmission","branch","","","","","","Transmission-specific data, stopping at the drive shafts.","","","","6b71e284b63a527caa6296a66e9fdd0c"
"Vehicle.Powertrain.Transmission.Type","attribute","string","","","","","Transmission type.","","['UNKNOWN', 'SEQUENTIAL', 'H', 'AUTOMATIC', 'DSG', 'CVT']","UNKNOWN","f83b9e5464d85a0288fcb32c164d3c63"
"Vehicle.Powertrain.Transmission.GearCount","attribute","int8","","","","","Number of forward gears in the transmission. -1 = CVT.","","","0","84293f40d3ed57f1a08992d97b1a9ccd"
"Vehicle.Powertrain.Transmission.DriveType","attribute","string","","","","","Drive type.","","['UNKNOWN', 'FORWARD_WHEEL_DRIVE', 'REAR_WHEEL_DRIVE', 'ALL_WHEEL_DRIVE']","UNKNOWN","0e480b76fb2d5f8bb08fb586f90ee6ae"
"Vehicle.Powertrain.Transmission.TravelledDistance","sensor","float","","km","","","Odometer reading, total distance travelled during the lifetime of the transmission.","","","","b9dd66f20c7f5b12a046766b94dc20c1"
"Vehicle.Powertrain.Transmission.CurrentGear","sensor","int8","","","","","The current gear. 0=Neutral, 1/2/..=Forward, -1/-2/..=Reverse.","","","","cd0ba1d772565e16bff46cbd5c9361da"
"Vehicle.Powertrain.Transmission.SelectedGear","actuator","int8","","","","","The selected gear. 0=Neutral, 1/2/..=Forward, -1/-2/..=Reverse, 126=Park, 127=Drive.","","","","490fd99b9d5f562eb180c19e8cef5e12"
"Vehicle.Powertrain.Transmission.IsParkLockEngaged","actuator","boolean","","","","","Is the transmission park lock engaged or not. False = Disengaged. True = Engaged.","","","","1578da3f925e54ac9df978abd0195408"
"Vehicle.Powertrain.Transmission.IsLowRangeEngaged","actuator","boolean","","","","","Is gearbox in low range mode or not. False = Normal/High range engaged. True = Low range engaged.","The possibility to switch between low and high gear range is typically only available in heavy vehicles and off-road vehicles.","","","63ba7593926b574ebbe4f90b28557e78"
"Vehicle.Powertrain.Transmission.IsElectricalPowertrainEngaged","actuator","boolean","","","","","Is electrical powertrain mechanically connected/engaged to the drivetrain or not. False = Disconnected/Disengaged. True = Connected/Engaged.","In some hybrid solutions it is possible to disconnect/disengage the electrical powertrain mechanically to avoid induced voltage reaching a too high level when driving at high speed.","","","6660cf1d88d15430b1e7c8908a7b769b"
"Vehicle.Powertrain.Transmission.PerformanceMode","actuator","string","","","","","Current gearbox performance mode.","","['NORMAL', 'SPORT', 'ECONOMY', 'SNOW', 'RAIN']","","6b5cfd85cb595e559503ccf993be04dd"
