"Signal","Type","DataType","Deprecated","Unit","Min","Max","Desc","Comment","Allowed","Default","Id"
"Vehicle.Body.Windshield.Rear.Wiping.System.Frequency","actuator","uint8","","cpm","","","Wiping frequency/speed, measured in cycles per minute. The signal concerns the actual speed of the wiper blades when moving. Intervals/pauses are excluded, i.e. the value corresponds to the number of cycles that would be completed in 1 minute if wiping permanently over default range.","Examples - 0 = Wipers stopped, 80 = Wipers doing 80 cycles per minute (in WIPE mode).","","","371171d971995c999585b028e19be461"
"Vehicle.Body.Windshield.Rear.Wiping.System.TargetPosition","actuator","float","","degrees","","","Requested position of main wiper blade for the wiper system relative to reference position. Location of reference position (0 degrees) and direction of positive/negative degrees is vehicle specific. System behavior when receiving TargetPosition depends on Mode and IsEndingWipeCycle. Supported values are vehicle specific and might be dynamically corrected. If IsEndingWipeCycle=True then wipers will complete current movement before actuating new TargetPosition. If IsEndingWipeCycle=False then wipers will directly change destination if the TargetPosition is changed.","Default parking position might be used as reference position.","","","c39bef0760185555904a92a305392080"
"Vehicle.Body.Windshield.Rear.Wiping.System.ActualPosition","actuator","float","","degrees","","","Actual position of main wiper blade for the wiper system relative to reference position. Location of reference position (0 degrees) and direction of positive/negative degrees is vehicle specific.","Default parking position might be used as reference position.","","","eddee2607a135582bbcf3d3afc845892"
"Vehicle.Body.Windshield.Rear.Wiping.System.DriveCurrent","sensor","float","","A","","","Actual current used by wiper drive.","May be negative in special situations.","","","7a254692329055dfb4089e2dcc1d4ef3"
"Vehicle.Body.Windshield.Rear.Wiping.System.IsWiping","sensor","boolean","","","","","Indicates wiper movement. True if wiper blades are moving. Change of direction shall be considered as IsWiping if wipers will continue to move directly after the change of direction.","","","","4e001bf679e85c9aa7319bafc3a86e75"
"Vehicle.Body.Windshield.Rear.Wiping.System.IsEndingWipeCycle","sensor","boolean","","","","","Indicates if current wipe movement is completed or near completion. True = Movement is completed or near completion. Changes to RequestedPosition will be executed first after reaching previous RequestedPosition, if it has not already been reached. False = Movement is not near completion. Any change to RequestedPosition will be executed immediately. Change of direction may not be allowed.","In continuous wiping between A and B this sensor can be used a trigger to update TargetPosition.","","","c1357156d87c58f49d4c43c2a6e97c03"
"Vehicle.Body.Windshield.Rear.Wiping.System.IsWiperError","sensor","boolean","","","","","Indicates system failure. True if wiping is disabled due to system failure.","","","","ac5983deacbe59d7ba1312d44bfd9cd4"
"Vehicle.Body.Windshield.Rear.Wiping.System.IsPositionReached","sensor","boolean","","","","","Indicates if a requested position has been reached. IsPositionReached refers to the previous position in case the TargetPosition is updated while IsEndingWipeCycle=True. True = Current or Previous TargetPosition reached. False = Position not (yet) reached, or wipers have moved away from the reached position.","","","","ad35e8d17cd95273b1091dcef2104ea1"
"Vehicle.Body.Windshield.Rear.Wiping.System.IsBlocked","sensor","boolean","","","","","Indicates if wiper movement is blocked. True = Movement blocked. False = Movement not blocked.","","","","046e818b4dd9595a8301503e9afe028b"
"Vehicle.Body.Windshield.Rear.Wiping.System.IsOverheated","sensor","boolean","","","","","Indicates if wiper system is overheated. True = Wiper system overheated. False = Wiper system not overheated.","","","","d30bc6f33b995ef491c252980a559ee2"
